Year,Type,School,School2
2013.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2013.0,PMF,"UNIVERSITY OF MARYLAND, COLLEGE PARK",UNIVERSITY OF MARYLAND - COLLEGE PARK
2013.0,PMF,MASSACHUSETTS INST OF TECHNOLOGY,MASSACHUSETTS INST OF TECHNOLOGY
2013.0,PMF,INDIANA UNIVERSITY-BLOOMINGTON,INDIANA UNIVERSITY - BLOOMINGTON
2013.0,PMF,UNIVERSITY OF OXFORD ST CATHERINE'S,UNIVERSITY OF OXFORD ST CATHERINE'S
2013.0,PMF,UNIVERSITY OF ALABAMA AT BIRMINGHAM,UNIVERSITY OF ALABAMA - BIRMINGHAM
2013.0,PMF,UNIV OF ILLINOIS @ URBANA-CHAMPAIGN,UNIV OF ILLINOIS - URBANA - CHAMPAIGN
2013.0,PMF,JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG,JOHNS HOPKINS UNIVERSITY
2013.0,PMF,Naval War College,NAVAL WAR COLLEGE
2013.0,PMF,EMORY UNIVERSITY,EMORY UNIVERSITY
2013.0,PMF,YALE UNIVERSITY,YALE UNIVERSITY
2013.0,PMF,SYRACUSE UNIVERSITY,SYRACUSE UNIVERSITY
2013.0,PMF,GEORGE MASON UNIVERSITY,GEORGE MASON UNIVERSITY
2013.0,PMF,"UNIVERSITY OF MARYLAND, BALTIMORE",UNIVERSITY OF MARYLAND - BALTIMORE
2013.0,PMF,NORTHERN ARIZONA UNIVERSITY,NORTHERN ARIZONA UNIVERSITY
2013.0,PMF,UNIVERSITY OF HAWAII AT MANOA,UNIVERSITY OF HAWAII AT MANOA
2013.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2013.0,PMF,UNIVERSITY OF DENVER,UNIVERSITY OF DENVER
2013.0,PMF,UNIVERSITY OF CINCINNATI,UNIVERSITY OF CINCINNATI
2013.0,PMF,UNIV OF SOUTH FLORIDA,UNIV OF SOUTH FLORIDA
2013.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2013.0,PMF,THE UNIVERSITY OF NEW MEXICO,THE UNIVERSITY OF NEW MEXICO
2013.0,PMF,FLORIDA INTERNATIONAL UNIVERSITY,FLORIDA INTERNATIONAL UNIVERSITY
2013.0,PMF,INDIANA UNIVERSITY-BLOOMINGTON,INDIANA UNIVERSITY - BLOOMINGTON
2013.0,PMF,UNIVERSITY OF HULL,UNIVERSITY OF HULL
2013.0,PMF,EMORY UNIVERSITY,EMORY UNIVERSITY
2013.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2013.0,PMF,HARVARD UNIV GRAD S OF ARTS & SCIEN,HARVARD UNIVERSITY
2013.0,PMF,TROY UNIVERSITY,TROY UNIVERSITY
2013.0,PMF,EMORY UNIVERSITY,EMORY UNIVERSITY
2013.0,PMF,LOUISIANA STATE UNIV & A&M COLG,LOUISIANA STATE UNIVERSITY
2013.0,PMF,WAYLAND BAPTIST UNIVERSITY,WAYLAND BAPTIST UNIVERSITY
2013.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2013.0,PMF,DUKE UNIVERSITY - SCHOOL OF PUBLIC POLIC,DUKE UNIVERSITY
2013.0,PMF,TEXAS A&M UNIVERSITY,TEXAS A&M UNIVERSITY
2013.0,PMF,NORTHWESTERN UNIV,NORTHWESTERN UNIVERSITY
2013.0,PMF,UNIVERSITY OF CHICAGO GRADUATE,UNIVERSITY OF CHICAGO
2013.0,PMF,CAPELLA UNIVERSITY,CAPELLA UNIVERSITY
2013.0,PMF,JOHN MARSHALL LAW SCHOOL,JOHN MARSHALL LAW SCHOOL
2013.0,PMF,ATLANTA'S JOHN MARSHALL LAW SCHOOL,JOHN MARSHALL LAW SCHOOL
2013.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2013.0,PMF,UNIVERSITY OF CALIFORNIA-BERKELEY,UNIVERSITY OF CALIFORNIA - BERKELEY
2013.0,PMF,UNIVERSITY OF DENVER,UNIVERSITY OF DENVER
2013.0,PMF,BELLEVUE UNIVERSITY,BELLEVUE UNIVERSITY
2013.0,PMF,FLORIDA INSTITUTE OF TECHNOLOGY,FLORIDA INSTITUTE OF TECHNOLOGY
2013.0,PMF,GRAND CANYON UNIVERSITY,GRAND CANYON UNIVERSITY
2013.0,PMF,AMERICAN PUBLIC UNIVERSITY SYSTEM,AMERICAN PUBLIC UNIVERSITY SYSTEM
2013.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2013.0,PMF,UNIVERSITY OF COLORADO-BOULDER,UNIVERSITY OF COLORADO - BOULDER
2013.0,PMF,UNIVERSITY OF PHOENIX,UNIVERSITY OF PHOENIX
2013.0,PMF,BOWIE STATE UNIVERSITY,BOWIE STATE UNIVERSITY
2013.0,PMF,HARVARD KENNEDY SCHOOL,HARVARD UNIVERSITY
2013.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2013.0,PMF,YALE UNIVERSITY,YALE UNIVERSITY
2013.0,PMF,BROOKLYN LAW SCHOOL,BROOKLYN LAW SCHOOL
2013.0,PMF,REGENT UNIVERSITY,REGENT UNIVERSITY
2013.0,PMF,SOUTHERN ILL UNIV-CARBONDALE,SOUTHERN ILLINOIS UNIV - CARBONDALE
2013.0,PMF,SUFFOLK UNIVERSITY,SUFFOLK UNIVERSITY
2013.0,PMF,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
2013.0,PMF,DREXEL UNIVERSITY,DREXEL UNIVERSITY
2013.0,PMF,DEPAUL UNIVERSITY,DEPAUL UNIVERSITY
2013.0,PMF,OLD DOMINION UNIVERSITY,OLD DOMINION UNIVERSITY
2013.0,PMF,HOWARD UNIVERSITY,HOWARD UNIVERSITY
2013.0,PMF,HARVARD LAW SCHOOL,HARVARD UNIVERSITY
2013.0,PMF,WAKE FOREST UNIV - SCH OF LAW,WAKE FOREST UNIVERSITY
2013.0,PMF,TUI UNIVERSITY,TUI UNIVERSITY
2013.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2013.0,PMF,FLORIDA STATE UNIVERSITY,FLORIDA STATE UNIVERSITY
2013.0,PMF,UNIVERSITY OF PHOENIX,UNIVERSITY OF PHOENIX
2013.0,PMF,KIMBERLY WILMINGTON UNIVERSITY,WILMINGTON UNIVERSITY
2013.0,PMF,UNIVERSITY OF SOUTHERN CALIFORNIA,UNIVERSITY OF SOUTHERN CALIFORNIA
2013.0,PMF,UNIVERSITY OF CALIFORNIA-DAVIS,UNIVERSITY OF CALIFORNIA - DAVIS
2013.0,PMF,GEORGE MASON UNIVERSITY,GEORGE MASON UNIVERSITY
2013.0,PMF,PEPPERDINE UNIVERSITY,PEPPERDINE UNIVERSITY
2013.0,PMF,ST MARY'S UNIV OF SAN ANTONIO,ST MARY'S UNIV OF SAN ANTONIO
2013.0,PMF,UNIVERSITY OF MICHIGAN - ANN ARBOR,UNIVERSITY OF MICHIGAN - ANN ARBOR
2013.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2013.0,PMF,EASTERN MICHIGAN UNIVERSITY,EASTERN MICHIGAN UNIVERSITY
2013.0,PMF,NORTHERN ARIZONA UNIVERSITY,NORTHERN ARIZONA UNIVERSITY
2013.0,PMF,UNIVERSITY OF VIRGINIA - SFS,UNIVERSITY OF VIRGINIA 
2013.0,PMF,INDIANA UNIVERSITY-BLOOMINGTON,INDIANA UNIVERSITY - BLOOMINGTON
2013.0,PMF,WASHINGTON UNIVERSITY,WASHINGTON UNIVERSITY
2013.0,PMF,UNIVERSITY OF NEBRASKA-OMAHA,UNIVERSITY OF NEBRASKA - OMAHA
2013.0,PMF,"CONCORDIA UNIVERSITY, ST PAUL, MN",CONCORDIA UNIVERSITY
2013.0,PMF,UNIVERSITY OF TENNESSEE-KNOXVILLE,UNIVERSITY OF TENNESSEE - KNOXVILLE
2013.0,PMF,VERMONT LAW SCHOOL,VERMONT LAW SCHOOL
2013.0,PMF,WASEDA UNIVERSITY,WASEDA UNIVERSITY
2013.0,PMF,THE UNIVERSITY OF NEW MEXICO,THE UNIVERSITY OF NEW MEXICO
2013.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2013.0,PMF,HARVARD KENNEDY SCHOOL,HARVARD UNIVERSITY
2013.0,PMF,UNIVERSITY OF MINNESOTA-TWIN CITIES,UNIVERSITY OF MINNESOTA - TWIN CITIES
2013.0,PMF,STRAYER UNIVERSITY,STRAYER UNIVERSITY
2013.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2013.0,PMF,UNIVERSITY OF NORTHERN COLORADO,UNIVERSITY OF NORTHERN COLORADO
2013.0,PMF,UNIVERSITY OF CALIFORNIA (UCLA),UNIVERSITY OF CALIFORNIA (UCLA)
2013.0,PMF,FORT VALLEY STATE UNIVERSITY,FORT VALLEY STATE UNIVERSITY
2013.0,PMF,CORNELL UNIVERSITY,CORNELL UNIVERSITY
2013.0,PMF,LIBERTY UNIVERSITY,LIBERTY UNIVERSITY
2013.0,PMF,RICE UNIVERSITY,RICE UNIVERSITY
2013.0,PMF,AMERICAN PUBLIC UNIVERSITY SYSTEM,AMERICAN PUBLIC UNIVERSITY SYSTEM
2013.0,PMF,WEBSTER UNIVERSITY,WEBSTER UNIVERSITY
2013.0,PMF,UNIVERSITY OF OREGON,UNIVERSITY OF OREGON
2013.0,PMF,UNIV OF CENTRAL FLORIDA,UNIV OF CENTRAL FLORIDA
2013.0,PMF,BROOKLYN LAW SCHOOL,BROOKLYN LAW SCHOOL
2013.0,PMF,WESTERN NEW MEXICO UNIVERSITY,WESTERN NEW MEXICO UNIVERSITY
2013.0,PMF,HARVARD UNIV SCH PUBLIC HEALTH,HARVARD UNIVERSITY
2013.0,PMF,YALE UNIVERSITY,YALE UNIVERSITY
2013.0,PMF,YALE UNIVERSITY,YALE UNIVERSITY
2013.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2013.0,PMF,UNIVERSITY OF CHICAGO GRADUATE,UNIVERSITY OF CHICAGO
2013.0,PMF,KAPLAN COLLEGE,KAPLAN COLLEGE
2013.0,PMF,NEW MEXICO STATE UNIVERSITY,NEW MEXICO STATE UNIVERSITY
2013.0,PMF,CAPELLA UNIVERSITY,CAPELLA UNIVERSITY
2013.0,PMF,LISANDRA MERCYHURST COLLEGE,MERCYHURST COLLEGE
2013.0,PMF,UNIVERSITY OF CALIFORNIA-BERKELEY,UNIVERSITY OF CALIFORNIA - BERKELEY
2013.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2013.0,PMF,YALE UNIVERSITY,YALE UNIVERSITY
2013.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2013.0,PMF,MILLS COLLEGE,MILLS COLLEGE
2013.0,PMF,GEORGE WASHINGTON UNIV LAW SCHL,GEORGE WASHINGTON UNIVERSITY
2013.0,PMF,CASE WESTERN RESERVE UNIV - LAW,CASE WESTERN RESERVE UNIV
2013.0,PMF,UNIV OF LONDON-LONDON SCHOOL ECON,UNIV OF LONDON - LONDON SCHOOL ECON
2013.0,PMF,AMERICAN PUBLIC UNIVERSITY SYSTEM,AMERICAN PUBLIC UNIVERSITY SYSTEM
2013.0,PMF,ARIZONA STATE UNIV (ALL CAMPUSES),ARIZONA STATE UNIV (ALL CAMPUSES)
2013.0,PMF,UNIVERSITY OF CALIFORNIA (UCLA),UNIVERSITY OF CALIFORNIA (UCLA)
2013.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2013.0,PMF,COLORADO TECHNICAL UNIVERSITY,COLORADO TECHNICAL UNIVERSITY
2013.0,PMF,"UNIVERSITY OF MARYLAND, BALTIMORE",UNIVERSITY OF MARYLAND - BALTIMORE
2013.0,PMF,WEBSTER UNIVERSITY,WEBSTER UNIVERSITY
2013.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2013.0,PMF,UNIVERSITY OF PITTSBURGH,UNIVERSITY OF PITTSBURGH
2013.0,PMF,UNIVERSITY OF CALIFORNIA-SAN DIEGO,UNIVERSITY OF CALIFORNIA-SAN DIEGO
2013.0,PMF,UNIVERSITY OF CHICAGO GRADUATE,UNIVERSITY OF CHICAGO
2013.0,PMF,UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON
2013.0,PMF,UNIVERSITY OF TENNESSEE-KNOXVILLE,UNIVERSITY OF TENNESSEE - KNOXVILLE
2013.0,PMF,SUFFOLK UNIVERSITY,SUFFOLK UNIVERSITY
2013.0,PMF,FLORIDA A & M UNIVERSITY,FLORIDA A & M UNIVERSITY
2013.0,PMF,DEPAUL UNIVERSITY,DEPAUL UNIVERSITY
2013.0,PMF,UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON
2013.0,PMF,KELLER GRADUATE SCHOOL OF MGMT.,KELLER GRADUATE SCHOOL OF MGMT.
2013.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2013.0,PMF,ASHFORD UNIVERSITY,ASHFORD UNIVERSITY
2013.0,PMF,CALIF STATE UNIV-LONG BEACH,CALIF STATE UNIV-LONG BEACH
2013.0,PMF,YALE UNIVERSITY,YALE UNIVERSITY
2013.0,PMF,HARVARD UNIV SCH PUBLIC HEALTH,HARVARD UNIVERSITY
2013.0,PMF,TUFTS UNIVERSITY,TUFTS UNIVERSITY
2013.0,PMF,AMERICAN PUBLIC UNIVERSITY SYSTEM,AMERICAN PUBLIC UNIVERSITY SYSTEM
2013.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2013.0,PMF,PEPPERDINE UNIVERSITY,PEPPERDINE UNIVERSITY
2013.0,PMF,UNIVERSITY OF SAN DIEGO,UNIVERSITY OF SAN DIEGO
2013.0,PMF,HOWARD UNIVERSITY,HOWARD UNIVERSITY
2013.0,PMF,"UNIVERSITY OF MARYLAND, COLLEGE PARK",UNIVERSITY OF MARYLAND - COLLEGE PARK
2013.0,PMF,UNIV OF CENTRAL FLORIDA,UNIV OF CENTRAL FLORIDA
2013.0,PMF,UNIVERSITY OF MINNESOTA-TWIN CITIES,UNIVERSITY OF MINNESOTA - TWIN CITIES
2013.0,PMF,UNIVERSITY OF PHOENIX,UNIVERSITY OF PHOENIX
2013.0,PMF,NOVA SOUTHEASTERN UNIVERSITY,NOVA SOUTHEASTERN UNIVERSITY
2013.0,PMF,UNIV OF MARYLAND UNIVERSITY COLLEGE,UNIV OF MARYLAND UNIVERSITY COLLEGE
2013.0,PMF,GEORGETOWN UNIV LAW CENTER,GEORGETOWN UNIVERSITY
2013.0,PMF,NORWICH UNIVERSITY,NORWICH UNIVERSITY
2013.0,PMF,KELLER GRADUATE SCHOOL OF MGMT.,KELLER GRADUATE SCHOOL OF MGMT.
2013.0,PMF,UNIVERSITY OF PITTSBURGH,UNIVERSITY OF PITTSBURGH
2013.0,PMF,UNIVERSITY OF PENNSYLVANIA,UNIVERSITY OF PENNSYLVANIA
2013.0,PMF,UNIVERSITY OF MICHIGAN - ANN ARBOR,UNIVERSITY OF MICHIGAN - ANN ARBOR
2013.0,PMF,UNIVERSITY OF NC AT CHARLOTTE,UNIVERSITY OF NORTH CAROLINA - CHARLOTTE
2013.0,PMF,UNIFORMED SVCS UNIV OF HEALTH SCIENCES,UNIFORMED SERVICES UNIV OF HEALTH SCIENCES
2013.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2013.0,PMF,MARQUETTE UNIVERSITY,MARQUETTE UNIVERSITY
2013.0,PMF,UNIVERSITY OF PITTSBURGH,UNIVERSITY OF PITTSBURGH
2013.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2013.0,PMF,GEORGE MASON UNIVERSITY,GEORGE MASON UNIVERSITY
2013.0,PMF,UNIVERSITY OF BALTIMORE,UNIVERSITY OF BALTIMORE
2013.0,PMF,EMORY UNIVERSITY,EMORY UNIVERSITY
2013.0,PMF,LONG ISLAND UNIVERSITY,LONG ISLAND UNIVERSITY
2013.0,PMF,UNIV OF LONDON-LONDON SCHOOL ECON,UNIV OF LONDON - LONDON SCHOOL ECON
2013.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2013.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2013.0,PMF,UNIVERSITY OF VIRGINIA - SFS,UNIVERSITY OF VIRGINIA 
2013.0,PMF,UNIVERSITY OF NORTH TEXAS,UNIVERSITY OF NORTH TEXAS
2013.0,PMF,WASHINGTON UNIVERSITY,WASHINGTON UNIVERSITY
2013.0,PMF,SUNY AT ALBANY,SUNY AT ALBANY
2013.0,PMF,UNIVERSITY OF MICHIGAN LAW SCHOOL,UNIVERSITY OF MICHIGAN - ANN ARBOR
2013.0,PMF,WAYNE STATE UNIVERSITY - LAW SCHOOL,WAYNE STATE UNIVERSITY
2013.0,PMF,TROY UNIVERSITY,TROY UNIVERSITY
2013.0,PMF,UNIV OF LONDON-LONDON SCHOOL ECON,UNIV OF LONDON - LONDON SCHOOL ECON
2013.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2013.0,PMF,UNIVERSITY OF TEXAS-SAN ANTONIO,UNIVERSITY OF TEXAS - SAN ANTONIO
2013.0,PMF,AMERICAN PUBLIC UNIVERSITY SYSTEM,AMERICAN PUBLIC UNIVERSITY SYSTEM
2013.0,PMF,FLORIDA A & M UNIVERSITY,FLORIDA A & M UNIVERSITY
2013.0,PMF,MISSISSIPPI STATE UNIVERSITY,MISSISSIPPI STATE UNIVERSITY
2013.0,PMF,VANDERBILT UNIVERSITY,VANDERBILT UNIVERSITY
2013.0,PMF,UNIVERSITY OF FLORIDA,UNIVERSITY OF FLORIDA
2013.0,PMF,UNIVERSITY OF WISCONSIN-MADISON,UNIVERSITY OF WISCONSIN - MADISON
2013.0,PMF,UNIVERSITY OF WISCONSIN-MADISON,UNIVERSITY OF WISCONSIN - MADISON
2013.0,PMF,UNIVERSITY OF BALTIMORE,UNIVERSITY OF BALTIMORE
2013.0,PMF,Air University,AIR UNIVERSITY
2013.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2013.0,PMF,CLARK ATLANTA UNIVERSITY,CLARK ATLANTA UNIVERSITY
2013.0,PMF,WAKE FOREST UNIV - SCH OF LAW,WAKE FOREST UNIVERSITY
2013.0,PMF,UNIV OF LONDON-LONDON SCHOOL ECON,UNIV OF LONDON - LONDON SCHOOL ECON
2013.0,PMF,UNIV OF ILLINOIS AT CHICAGO,UNIV OF ILLINOIS AT CHICAGO
2013.0,PMF,GEORGIA INSTITUTE OF TECHNOLOGY,GEORGIA INSTITUTE OF TECHNOLOGY
2013.0,PMF,UNIVERSITY OF COLORADO DENVER,UNIVERSITY OF COLORADO - DENVER
2013.0,PMF,THOMAS COLLEGE,THOMAS COLLEGE
2013.0,PMF,UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON
2013.0,PMF,PERU STATE COLLEGE,PERU STATE COLLEGE
2013.0,PMF,HAMLINE UNIVERSITY,HAMLINE UNIVERSITY
2013.0,PMF,JESUS UNIVERSITY OF TEXAS-SAN ANTONIO,UNIVERSITY OF TEXAS - SAN ANTONIO
2013.0,PMF,WILLIAM COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2013.0,PMF,INDIANA UNIVERSITY-BLOOMINGTON,INDIANA UNIVERSITY - BLOOMINGTON
2013.0,PMF,WEBSTER UNIVERSITY,WEBSTER UNIVERSITY
2013.0,PMF,UNIVERSITY OF TEXAS AT DALLAS,UNIVERSITY OF TEXAS - DALLAS
2013.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2013.0,PMF,CORNELL UNIVERSITY,CORNELL UNIVERSITY
2013.0,PMF,OREGON STATE UNIVERSITY,OREGON STATE UNIVERSITY
2013.0,PMF,UNIVERSITY OF PITTSBURGH,UNIVERSITY OF PITTSBURGH
2013.0,PMF,WASHINGTON UNIVERSITY,WASHINGTON UNIVERSITY
2013.0,PMF,YALE UNIVERSITY,YALE UNIVERSITY
2013.0,PMF,NORTHCENTRAL UNIVERSITY,NORTHCENTRAL UNIVERSITY
2013.0,PMF,UNIVERSITY OF PHOENIX,UNIVERSITY OF PHOENIX
2013.0,PMF,COLLEGE OF WILLIAM & MARY,COLLEGE OF WILLIAM AND MARY
2013.0,PMF,BENEDICTINE UNIVERSITY,BENEDICTINE UNIVERSITY
2013.0,PMF,SYRACUSE UNIVERSITY,SYRACUSE UNIVERSITY
2013.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2013.0,PMF,UNIVERSITY OF CHICAGO,UNIVERSITY OF CHICAGO
2013.0,PMF,UNIVERSITY OF REDLANDS,UNIVERSITY OF REDLANDS
2013.0,PMF,UNIV OF MARYLAND UNIVERSITY COLLEGE,UNIV OF MARYLAND UNIVERSITY COLLEGE
2013.0,PMF,HARVARD KENNEDY SCHOOL,HARVARD UNIVERSITY
2013.0,PMF,AMERICAN PUBLIC UNIVERSITY SYSTEM,AMERICAN PUBLIC UNIVERSITY SYSTEM
2013.0,PMF,TUFTS UNIVERSITY,TUFTS UNIVERSITY
2013.0,PMF,UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON
2013.0,PMF,COLORADO SCHOOL OF MINES,COLORADO SCHOOL OF MINES
2013.0,PMF,UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON
2013.0,PMF,UNIVERSITY OF PHOENIX,UNIVERSITY OF PHOENIX
2013.0,PMF,INDIANA UNIVERSITY-BLOOMINGTON,INDIANA UNIVERSITY - BLOOMINGTON
2013.0,PMF,CAPELLA UNIVERSITY,CAPELLA UNIVERSITY
2013.0,PMF,UNIVERSITY OF ALABAMA (THE),UNIVERSITY OF ALABAMA
2013.0,PMF,ARIZONA STATE UNIV (ALL CAMPUSES),ARIZONA STATE UNIV (ALL CAMPUSES)
2013.0,PMF,MALCOM DUKE UNIV - FUQUA SCH OF BUSINESS,DUKE UNIVERSITY
2013.0,PMF,GEORGE WASHINGTON UNIV LAW SCHL,GEORGE WASHINGTON UNIVERSITY
2013.0,PMF,UNIV OF ILLINOIS AT CHICAGO,UNIV OF ILLINOIS AT CHICAGO
2013.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2013.0,PMF,AMERICAN PUBLIC UNIVERSITY SYSTEM,AMERICAN PUBLIC UNIVERSITY SYSTEM
2013.0,PMF,YALE UNIVERSITY,YALE UNIVERSITY
2013.0,PMF,UNIV OF DETROIT MERCY - LAW SCHOOL,UNIV OF DETROIT MERCY - LAW SCHOOL
2013.0,PMF,UNIVERSITY OF FLORIDA,UNIVERSITY OF FLORIDA
2013.0,PMF,AMERICAN PUBLIC UNIVERSITY SYSTEM,AMERICAN PUBLIC UNIVERSITY SYSTEM
2013.0,PMF,GEORGE WASHINGTON UNIV LAW SCHL,GEORGE WASHINGTON UNIVERSITY
2013.0,PMF,CUNY-BROOKLYN COLLEGE,CUNY-BROOKLYN COLLEGE
2013.0,PMF,WEBSTER UNIVERSITY,WEBSTER UNIVERSITY
2013.0,PMF,UNIVERSITY OF GEORGIA,UNIVERSITY OF GEORGIA
2013.0,PMF,UNIVERSITY OF CALIFORNIA (UCLA),UNIVERSITY OF CALIFORNIA (UCLA)
2013.0,PMF,NORTHWESTERN UNIV,NORTHWESTERN UNIVERSITY
2013.0,PMF,SAVANNAH STATE UNIVERSITY,SAVANNAH STATE UNIVERSITY
2013.0,PMF,"RUTGERS, THE STATE UNIVERSITY OF NJ","RUTGERS, THE STATE UNIVERSITY OF NJ (ALL CAMPUSES)"
2013.0,PMF,LIBERTY UNIVERSITY,LIBERTY UNIVERSITY
2013.0,PMF,SYRACUSE UNIVERSITY,SYRACUSE UNIVERSITY
2013.0,PMF,CHAPMAN UNIVERSITY SCHOOL OF LAW,CHAPMAN UNIVERSITY
2013.0,PMF,JOHNS HOPKINS UNIVERSITY,JOHNS HOPKINS UNIVERSITY
2013.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2013.0,PMF,UNIVERSITY OF VIRGINIA - SFS,UNIVERSITY OF VIRGINIA 
2013.0,PMF,JOHNS HOPKINS UNIV SCH OF BUS/ED,JOHNS HOPKINS UNIVERSITY
2013.0,PMF,DEPAUL UNIVERSITY,DEPAUL UNIVERSITY
2013.0,PMF,WESTERN MICHIGAN UNIVERSITY,WESTERN MICHIGAN UNIVERSITY
2013.0,PMF,AMERICAN PUBLIC UNIVERSITY SYSTEM,AMERICAN PUBLIC UNIVERSITY SYSTEM
2013.0,PMF,UNIVERSITY OF CALIFORNIA-BERKELEY,UNIVERSITY OF CALIFORNIA - BERKELEY
2013.0,PMF,TUFTS UNIVERSITY,TUFTS UNIVERSITY
2013.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2013.0,PMF,STEVEN ST MARY'S UNIV OF SAN ANTONIO,ST MARY'S UNIV OF SAN ANTONIO
2013.0,PMF,UNIVERSITY OF MICHIGAN - ANN ARBOR,UNIVERSITY OF MICHIGAN - ANN ARBOR
2013.0,PMF,UNIVERSITY OF PHOENIX,UNIVERSITY OF PHOENIX
2013.0,PMF,UNIVERSITY OF MICHIGAN - ANN ARBOR,UNIVERSITY OF MICHIGAN - ANN ARBOR
2013.0,PMF,THE CHICAGO SCHOOL OF PROF PSYCHOLOGY,THE CHICAGO SCHOOL OF PROF PSYCHOLOGY
2013.0,PMF,JOHNS HOPKINS BLOOMBERG SCH OF PH,JOHNS HOPKINS UNIVERSITY
2013.0,PMF,WAKE FOREST UNIV - SCH OF LAW,WAKE FOREST UNIVERSITY
2013.0,PMF,FORDHAM UNIVERSITY,FORDHAM UNIVERSITY
2013.0,PMF,DUKE UNIVERSITY - SCHOOL OF PUBLIC POLIC,DUKE UNIVERSITY
2013.0,PMF,NORTH CAROLINA STATE UNIV-RALEIGH,NORTH CAROLINA STATE UNIV - RALEIGH
2013.0,PMF,UNIVERSITY OF OKLAHOMA,UNIVERSITY OF OKLAHOMA
2013.0,PMF,KELLER GRADUATE SCHOOL OF MGMT.,KELLER GRADUATE SCHOOL OF MGMT.
2013.0,PMF,UNIVERSITY OF CHICAGO GRADUATE,UNIVERSITY OF CHICAGO
2013.0,PMF,YALE UNIVERSITY,YALE UNIVERSITY
2013.0,PMF,UNIVERSITY OF NOTRE DAME,UNIVERSITY OF NOTRE DAME
2013.0,PMF,UNIV OF MASSACHUSETTS-DARTMOUTH,UNIV OF MASSACHUSETTS - DARTMOUTH
2013.0,PMF,JOHNS HOPKINS BLOOMBERG SCH OF PH,JOHNS HOPKINS UNIVERSITY
2013.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2013.0,PMF,EMORY UNIVERSITY,EMORY UNIVERSITY
2013.0,PMF,GEORGE WASHINGTON UNIV LAW SCHL,GEORGE WASHINGTON UNIVERSITY
2013.0,PMF,JOHNS HOPKINS UNIVERSITY,JOHNS HOPKINS UNIVERSITY
2013.0,PMF,CALIF STATE UNIV SAN BERNARDINO,CALIFORNIA STATE UNIV - SAN BERNARDINO
2013.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2013.0,PMF,CARNEGIE MELLON UNIV- THE HEINZ COLLEGE,CARNEGIE MELLON UNIVERSITY
